 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.059559   -0.234055    0.171661 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     3    22     0.2240699     0.0449438     0.0172563     2.05490     0.00264
     3    23     0.1956814     0.1386555    -0.0355727     2.06340     0.00297
     3    24     0.0179288     0.0080754     0.0021308     2.08770     0.00002
     3    25    -0.1798339     0.0258644     0.0005715     2.10320     0.00170
     3    26    -0.2425057    -0.0153755    -0.0015179     2.19800     0.00318
     3    27     0.5979801    -0.0160392    -0.0414996     2.24100     0.01974
     3    28     0.0903996     0.1310390     0.0167536     2.26830     0.00142
     3    29    -0.2229596     0.1703211     0.1103967     2.31470     0.00516
     3    30     0.4931032     0.1157113     0.0968815     2.32660     0.01516
     3    31     0.5310598     0.4426978    -0.0453193     2.35600     0.02771
     3    32     0.0867122    -0.0114102    -0.0054790     2.45620     0.00046
     3    33    -0.1060928     0.0654158    -0.0034388     2.46940     0.00094
     3    34     0.0013927     0.0003754     0.0007052     2.52700     0.00000
     3    35    -1.0297827     0.3839609     0.0737128     2.57890     0.07666
     3    36     0.0155163     0.0542774    -0.0656176     2.63510     0.00048
     3    37    -0.0045035     0.0845022    -0.0771711     2.65420     0.00085
     3    38     0.0286225    -0.0416701     0.0380598     2.66670     0.00026
     3    39     0.2290152    -0.2317858    -0.0411480     2.71870     0.00718
     3    40     0.0251922    -0.0098372     0.0004219     2.77070     0.00005
     4     4    -1.8699076    -0.4749537     0.0917720     0.00000     0.00000
     4     5    -1.9634346    -0.2851360    -0.0416667     0.03810     0.00368
     4     6     1.5424830     0.7507450     0.1112553     0.16820     0.01218
     4     7     0.3513128     0.0886645     0.0152300     0.27420     0.00088
     4     8    -0.1798297     0.4589932     0.0445610     0.42040     0.00252
     4     9    -1.9662760    -0.0143066    -0.0182331     0.48170     0.04563
     4    10     0.6436701     0.1112395    -0.0169906     0.62440     0.00653
     4    11     1.5142634     0.5708633     0.0964964     0.72830     0.04689
     4    12     0.2089432    -0.1942809    -0.0368218     0.81890     0.00166
     4    13     0.7619155    -0.0620575     0.0127043     0.87230     0.01249
     4    14    -1.1961048    -0.3518350    -0.0175221     1.09860     0.04185
     4    15    -1.2720224    -0.0775908     0.0227266     1.12260     0.04468
     4    16     0.5930058    -0.1537610     0.0346942     1.21050     0.01117
     4    17     0.0241563    -0.1175599    -0.0201399     1.22960     0.00045
     4    18     0.3457937     0.1939026     0.0248272     1.27500     0.00493
     4    19    -0.9688258     0.0902488     0.0191385     1.44270     0.03348
     4    20    -0.4181821     0.5436999     0.1328768     1.56560     0.01872
     4    21    -0.7619491    -0.6257189    -0.0761004     1.64500     0.03941
     4    22     0.2511882     0.6697637     0.1400894     1.84730     0.02405
     4    23    -0.0190158     0.6459811     0.0839245     1.85580     0.01931
     4    24    -0.0052827    -0.0438985    -0.0149510     1.88010     0.00010
     4    25    -0.2900500    -0.1650029    -0.0526133     1.89560     0.00530
     4    26    -0.2417128    -0.1352744    -0.0616654     1.99040     0.00393
     4    27     1.5203999     0.4195561     0.0868364     2.03340     0.12430
     4    28     1.2792716    -0.4930395    -0.1108265     2.06070     0.09552
     4    29    -1.2774231     0.1143336     0.0345042     2.10710     0.08498
     4    30     0.0107400     0.1175640     0.0808816     2.11900     0.00106
     4    31     0.1801317    -0.2202916    -0.0206592     2.14840     0.00428
     4    32     0.3746121    -0.0566683    -0.0230613     2.24860     0.00794
     4    33    -0.2118513     0.0685448     0.0234130     2.26180     0.00278
     4    34     0.0000000     0.0000000     0.0000000     2.31940     0.00000
     4    35    -0.7828145     0.1379180     0.0445753     2.37130     0.03682
     4    36     0.2931931     0.0189565    -0.0084903     2.42750     0.00514
     4    37    -0.0529793    -0.0638309     0.0020449     2.44660     0.00041
     4    38    -0.1260463    -0.0598783    -0.0914467     2.45910     0.00168
     4    39     0.4075945     0.0024282     0.0136254     2.51110     0.01023
     4    40    -0.1438932     0.0317163     0.0732391     2.56310     0.00170
     5     5    -0.1234165    -0.8022971     0.0505175     0.00000     0.00000
     5     6     2.8648379    -0.0322087    -0.0405180     0.13010     0.02617
     5     7    -2.1373575     1.1884211     0.2079640     0.23610     0.03484
     5     8     0.6230251     0.1177653    -0.1095985     0.38230     0.00388
     5     9    -1.4024253    -0.1799365    -0.0377210     0.44360     0.02174
     5    10     0.0037994    -0.0047283     0.0001749     0.58630     0.00000
     5    11     1.7028058     0.2797930     0.0237764     0.69020     0.05036
     5    12     0.8035639    -0.1041346    -0.0157189     0.78080     0.01256
     5    13    -0.4849482     0.6566313     0.1040852     0.83420     0.01384
     5    14    -0.2282583    -0.5298273    -0.0471090     1.06050     0.00870
     5    15    -1.0849182    -0.0200830     0.0393363     1.08450     0.03133
     5    16    -0.4516043     0.2253675    -0.1185331     1.17240     0.00772
     5    17     0.0015563    -0.0019368     0.0000716     1.19150     0.00000
     5    18     0.8169375     0.3129886     0.0599930     1.23690     0.02330
     5    19     0.0889500     0.3115744     0.0197470     1.40460     0.00363
     5    20     0.1950956     0.2352079     0.0436276     1.52750     0.00357
     5    21    -0.8550603    -0.2573292    -0.0365461     1.60690     0.03144
     5    22     0.0032617    -0.9727058    -0.1938637     1.80920     0.04360
     5    23    -0.2027150    -0.0724571    -0.0269128     1.81770     0.00210
     5    24     0.0038291     0.0318190     0.0108369     1.84200     0.00005
     5    25    -0.4324262    -0.0939703    -0.0063678     1.85750     0.00891
     5    26     0.2062988     0.4776072     0.0448555     1.95230     0.01304
     5    27    -0.3648050    -0.2755211    -0.0613194     1.99530     0.01040
     5    28     0.3151635     0.3883330     0.0513432     2.02260     0.01253
     5    29    -0.0308339     0.3352710     0.0210226     2.06900     0.00577
     5    30    -0.0013330    -0.5339757    -0.0605582     2.08090     0.01472
     5    31     0.0381738    -0.0174814     0.0006454     2.11030     0.00009
     5    32     0.6823326    -0.1971844    -0.0662288     2.21050     0.02756
     5    33    -0.3989603     0.0545417     0.0254695     2.22370     0.00887
     5    34    -0.0047073    -0.0037589    -0.0040626     2.28130     0.00000
     5    35    -0.2020375    -0.1473407    -0.0280689     2.33320     0.00362
     5    36    -0.1215992     0.0423633     0.0315510     2.38940     0.00103
     5    37    -0.0637899    -0.1537261    -0.0319803     2.40850     0.00169
     5    38    -0.0047297    -0.2221051    -0.0004578     2.42100     0.00293
     5    39    -0.1569141    -0.3694542    -0.1041826     2.47300     0.01042
     5    40     0.0793566    -0.1161963    -0.0914390     2.52500     0.00174
     6     6    -1.0329560    -0.9813101     0.0100647     0.00000     0.00000
     6     7    -2.5914342     0.8242995     0.1643155     0.10600     0.01927
     6     8     0.0809371    -0.4795546    -0.0715814     0.25220     0.00149
     6     9     2.7134074     0.3056978    -0.0056046     0.31350     0.05727
     6    10     0.1618807    -0.1340205    -0.0216922     0.45620     0.00050
     6    11    -1.4713679    -0.6829051    -0.0783135     0.56010     0.03619
     6    12     1.5022930     0.1338458     0.0006080     0.65070     0.03626
     6    13    -1.6605011     0.3913128     0.0290882     0.70410     0.05022
     6    14     1.3837516     0.3834022     0.0547053     0.93040     0.04706
     6    15     0.0573499     0.4610133     0.0647202     0.95440     0.00514
     6    16    -0.6258905     0.0492835    -0.1005632     1.04230     0.01032
     6    17    -0.0011215    -0.0411806    -0.0088807     1.06140     0.00005
     6    18    -1.1280169    -0.3708024    -0.0238162     1.10680     0.03825
     6    19     0.1960907    -0.1025714     0.0594410     1.27450     0.00164
     6    20    -0.1125499    -0.3929020    -0.0812737     1.39740     0.00594
     6    21     0.9159661     0.6154174     0.0494993     1.47680     0.04415
     6    22    -0.2475153    -0.0659052    -0.0192730     1.67910     0.00271
     6    23     0.1421749     0.2323560     0.0807438     1.68760     0.00334
     6    24    -0.0035890    -0.0298239    -0.0101574     1.71190     0.00004
     6    25    -0.5301140    -0.3536003    -0.0001354     1.72740     0.01718
     6    26    -0.2215672    -0.0904884     0.0084932     1.82220     0.00256
     6    27     0.2299725     0.7978482     0.1242094     1.86520     0.03221
     6    28    -1.0732555    -0.2395067    -0.0175634     1.89250     0.05608
     6    29     0.9144957    -0.1641490    -0.0199015     1.93890     0.04102
     6    30    -0.0193608     0.0108532     0.0173314     1.95080     0.00004
     6    31     0.5665822     0.0581220    -0.0289342     1.98020     0.01578
     6    32     0.5952428    -0.3226097    -0.0247963     2.08040     0.02340
     6    33    -0.3681138     0.0619278     0.0305159     2.09360     0.00719
     6    34    -0.0011568    -0.0008009    -0.0009155     2.15120     0.00000
     6    35    -0.9145941    -0.0666781     0.0066165     2.20310     0.04539
     6    36     0.1102949    -0.0551398    -0.0051945     2.25930     0.00084
     6    37    -0.0532650    -0.1780475    -0.0317379     2.27840     0.00198
     6    38     0.0307805    -0.2950009    -0.0303548     2.29090     0.00499
     6    39     0.0105783    -0.2500484    -0.0167497     2.34290     0.00361
     6    40     0.0168053    -0.0231809     0.0383841     2.39490     0.00013
     7     7     3.2359233    -1.7259755    -0.1419587     0.00000     0.00000
     7     8    -1.1340839     0.2846519     0.0763235     0.14620     0.00492
     7     9    -0.2330304    -0.1023670    -0.0039182     0.20750     0.00033
     7    10     0.0015063    -0.0479712    -0.0072230     0.35020     0.00002
     7    11    -1.7354927     0.0685844     0.0514421     0.45410     0.03359
     7    12     1.8782292    -0.1817834    -0.0386316     0.54470     0.04754
     7    13     2.6047526    -0.8883816    -0.1613931     0.59810     0.11136
     7    14    -1.8385014     0.0858862     0.0582837     0.82440     0.06849
     7    15     0.9352879    -0.1124710    -0.0619937     0.84840     0.01853
     7    16     0.0673371     0.0035482     0.1929729     0.93630     0.00096
     7    17    -0.0092218    -0.1057876    -0.0205054     0.95540     0.00027
     7    18     0.3825921     0.1047563    -0.0004826     1.00080     0.00386
     7    19     0.3084061    -0.2137791     0.0189711     1.16850     0.00404
     7    20    -0.1704558    -0.0033177     0.0057186     1.29140     0.00092
     7    21     0.4001519     0.0054238    -0.0100143     1.37080     0.00538
     7    22     0.5421804     0.5601325     0.1249751     1.57310     0.02402
     7    23     0.2047652    -0.2739883    -0.0096592     1.58160     0.00454
     7    24     0.0018029     0.0149821     0.0051026     1.60590     0.00001
     7    25    -0.5199329    -0.3852510     0.0093985     1.62140     0.01664
     7    26     0.0645784     0.0455893     0.0715436     1.71620     0.00048
     7    27    -0.4056408    -0.5506269    -0.1224955     1.75920     0.02081
     7    28     0.1278595     0.0017465     0.0459381     1.78650     0.00081
     7    29    -0.0714010    -0.1915570     0.0497010     1.83290     0.00199
     7    30    -0.0020044     0.1947993    -0.0880682     1.84480     0.00207
     7    31    -0.1528410     0.0048867    -0.0014150     1.87420     0.00107
     7    32     0.7462338    -0.1678763    -0.0694091     1.97440     0.02853
     7    33    -0.3848284     0.0500903     0.0322959     1.98760     0.00738
     7    34     0.0451182    -0.0048353     0.0062792     2.04520     0.00011
     7    35    -0.6747626     0.2540531     0.0679360     2.09710     0.02695
     7    36    -0.1779916     0.0269375    -0.0271174     2.15330     0.00175
     7    37    -0.0943013    -0.1862720    -0.0373854     2.17240     0.00239
     7    38    -0.0751650    -0.1738716    -0.0550061     2.18490     0.00208
     7    39    -0.1423453     0.3091562     0.0502580     2.23690     0.00649
     7    40     0.0463424    -0.3585562    -0.0938948     2.28890     0.00782
     8     8     2.5646168    -1.4431622    -0.1168810     0.00000     0.00000
     8     9     1.5735881    -0.5189646    -0.1112629     0.06130     0.00414
     8    10     0.7793419     0.0700368    -0.0375567     0.20400     0.00307
     8    11     0.2791211    -0.3879412    -0.0153688     0.30790     0.00172
     8    12    -0.1424106     0.1700913     0.0209264     0.39850     0.00048
     8    13    -0.6541578     0.2461444     0.0606119     0.45190     0.00545
     8    14     1.9659507     0.2711286    -0.0394071     0.67820     0.06547
     8    15    -0.8399755     0.2612169     0.0631194     0.70220     0.01338
     8    16    -0.2502541     0.1266934    -0.0418081     0.79010     0.00156
     8    17     0.0805980    -0.0883880    -0.0201100     0.80920     0.00029
     8    18    -0.7184480     0.0984315     0.0394481     0.85460     0.01104
     8    19    -1.1566624    -0.8146916    -0.0777748     1.02230     0.05028
     8    20    -0.4907239    -0.3414272    -0.0455849     1.14520     0.01009
     8    21     0.1010577    -0.1224968    -0.0108067     1.22460     0.00076
     8    22     0.0102109    -0.3116881    -0.0577198     1.42690     0.00352
     8    23     0.4721061    -0.0327745    -0.0734446     1.43540     0.00807
     8    24    -0.0134541    -0.0145093    -0.0020063     1.45970     0.00001
     8    25     0.1492275    -0.4251225    -0.0881964     1.47520     0.00762
     8    26     0.0892791     0.1136737     0.0055058     1.57000     0.00080
     8    27     0.4295128     0.0113093     0.0214916     1.61300     0.00731
